GPST DATE(UTC) TIME(UTC) FIELD
1298964526.122 2021-03-05 07:28:28.122 51981.981
1298964526.622 2021-03-05 07:28:28.621 55231.492
1298964527.123 2021-03-05 07:28:29.123 52053.024
1298964527.614 2021-03-05 07:28:29.613 59124.46
1298964528.114 2021-03-05 07:28:30.113 52465.805
1298964528.620 2021-03-05 07:28:30.619 52111.732
1298964529.116 2021-03-05 07:28:31.116 51179.644
1298964529.618 2021-03-05 07:28:31.618 56279.214
1298964530.123 2021-03-05 07:28:32.123 55123.47
1298964530.618 2021-03-05 07:28:32.618 54994.4
1298964531.131 2021-03-05 07:28:33.130 53269.004
1298964531.233 2021-03-05 07:28:33.233 0.0
1298964532.121 2021-03-05 07:28:34.121 56256.747
1298964532.624 2021-03-05 07:28:34.623 52750.571
1298964533.122 2021-03-05 07:28:35.122 51991.57
1298964533.627 2021-03-05 07:28:35.627 51128.581
1298964534.100 2021-03-05 07:28:36.100 0.0
1298964534.627 2021-03-05 07:28:36.627 52284.774
1298964535.126 2021-03-05 07:28:37.126 41820.371
1298964535.626 2021-03-05 07:28:37.625 42306.56
1298964536.977 2021-03-05 07:28:38.977 0.0
1298964536.607 2021-03-05 07:28:38.606 0.0
1298964537.949 2021-03-05 07:28:39.949 0.0
1298964537.591 2021-03-05 07:28:39.590 0.0
1298964538.979 2021-03-05 07:28:40.978 0.0
1298964538.614 2021-03-05 07:28:40.614 53269.004
1298964539.120 2021-03-05 07:28:41.120 51924.521
1298964539.620 2021-03-05 07:28:41.619 51469.376
1298964540.118 2021-03-05 07:28:42.118 49708.342
1298964540.618 2021-03-05 07:28:42.617 51096.139
1298964541.122 2021-03-05 07:28:43.121 49857.828
1298964541.617 2021-03-05 07:28:43.617 48585.813
1298964542.122 2021-03-05 07:28:44.121 48610.952
1298964542.621 2021-03-05 07:28:44.620 50305.742
1298964543.123 2021-03-05 07:28:45.122 49913.749
1298964543.622 2021-03-05 07:28:45.621 49137.241
1298964544.145 2021-03-05 07:28:46.145 49283.979
1298964544.636 2021-03-05 07:28:46.636 48692.735
1298964545.124 2021-03-05 07:28:47.123 46948.301
1298964545.599 2021-03-05 07:28:47.599 0.0
1298964546.126 2021-03-05 07:28:48.125 46624.698
1298964546.616 2021-03-05 07:28:48.615 45138.741
1298964547.123 2021-03-05 07:28:49.122 55318.214
1298964547.628 2021-03-05 07:28:49.628 49080.767
1298964548.116 2021-03-05 07:28:50.115 53859.412
1298964548.597 2021-03-05 07:28:50.596 0.0
1298964549.120 2021-03-05 07:28:51.120 51012.905
1298964549.597 2021-03-05 07:28:51.596 0.0
1298964550.119 2021-03-05 07:28:52.119 48787.658
1298964550.616 2021-03-05 07:28:52.615 51629.658
1298964551.123 2021-03-05 07:28:53.123 33629.197
1298964551.626 2021-03-05 07:28:53.625 51686.466
1298964552.927 2021-03-05 07:28:54.926 0.0
1298964552.591 2021-03-05 07:28:54.591 0.0
1298964553.153 2021-03-05 07:28:55.152 51998.314
1298964553.612 2021-03-05 07:28:55.612 52020.358
1298964554.130 2021-03-05 07:28:56.130 51239.636
1298964554.629 2021-03-05 07:28:56.629 51123.269
1298964555.129 2021-03-05 07:28:57.128 51354.219
1298964555.633 2021-03-05 07:28:57.633 51865.949
1298964556.132 2021-03-05 07:28:58.131 51467.303
1298964556.626 2021-03-05 07:28:58.625 51406.375
1298964557.131 2021-03-05 07:28:59.130 50945.286
1298964557.630 2021-03-05 07:28:59.629 51586.017
1298964558.984 2021-03-05 07:29:00.984 0.0
1298964559.119 2021-03-05 07:29:01.119 51628.307
1298964559.629 2021-03-05 07:29:01.628 51531.176
1298964560.125 2021-03-05 07:29:02.125 51319.429
1298964560.616 2021-03-05 07:29:02.616 49273.829
1298964561.161 2021-03-05 07:29:03.160 51548.863
1298964561.626 2021-03-05 07:29:03.625 51606.129
1298964562.144 2021-03-05 07:29:04.143 51577.717
